City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,Owned,FALSE,ITAIM BIBI,8,[],"RUA CAVAZZOLA, 87A",2072,7250,qdgnafvu3o3l,generalotis,2023-03-31T23:38:14.500Z,,,,,"25,06",No boost,41339131865867,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,8,[],"RUA ALVARO RODRIGUES, 406B",2072,8998,cwwjkvwpomtk,ravenviking,2023-02-24T02:37:30.000Z,,,,,"25,06",No boost,41324938340709,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,9,[],"RUA COMENDADOR MIGUEL CALFAT, 313D",2331,2331,oipyh1llscby,bonrotllo69,2023-03-24T14:10:12.000Z,UPX,429,,,"28,2",No boost,41341698779941,9995,"1110,555556"
Sao Paulo,Owned,FALSE,ITAIM BIBI,9,[],"RUA EGITO, 50",2331,2331,ewngsyzb5vc2,desjaak,2023-02-23T17:07:01.000Z,,,,,"28,2",No boost,41340725701476,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,9,[],"RUA MACAMBARA, 129",2331,2331,w1u3r1vw4b3z,papajuan,2023-02-23T17:02:50.000Z,,,,,"28,2",No boost,41336497842490,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,9,[],"RUA NICOLAU BARRETO, 380",2331,3500,ciuwp4hbwhwo,sightblack,2023-03-12T03:51:30.000Z,,,,,"28,2",No boost,41325710092506,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,9,[],"RUA BRITO PEIXOTO, 116B",2331,6499,uevgoj5le1nl,drmemory8,2023-03-15T01:36:07.500Z,,,,,"28,2",No boost,41325072558383,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,9,[],"RUA CAVAZZOLA, 75",2331,9200,nnbtpoqpubp1,motojunkie,2023-02-23T18:18:48.500Z,UPX,594,,,"28,2",No boost,41339148643076,13850,"1538,888889"
Sao Paulo,Owned,FALSE,ITAIM BIBI,10,[],"RUA URUSSUI, 44A",2590,3600,k54anicsj3jh,jani13,2023-04-02T09:19:15.000Z,,,,,"31,33",No boost,41347671468783,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,10,[],"RUA URUSSUI, 151",2590,2590,qzbuuikhdppp,cesarricardo,2023-03-19T22:41:33.000Z,UPX,521,,,"31,33",No boost,41347101043456,13498,"1349,8"
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA CLODOMIRO AMAZONAS, 479",2590,48500,vxrgefqw3lfs,madapalms,2023-02-23T21:33:04.500Z,,,,,"31,33",No boost,41344819342017,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA JOAO CACHOEIRA, 1480B",2590,7000,ajmkgrlgo15s,aoctobre,2023-03-04T07:16:40.500Z,,,,,"31,33",No boost,41341732334381,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA EGITO, 40",2590,6900,igc5hh5wzo14,aardvark,2023-03-28T15:01:36.500Z,,,,,"31,33",No boost,41340776033123,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,10,[],"RUA EGITO, 46",2590,7000,waftyr53g4ag,amaury20,2023-03-11T22:47:48.000Z,UPX,305,,,"31,33",No boost,41340759255907,7900,790
Sao Paulo,Owned,FALSE,ITAIM BIBI,10,[],"RUA EDSON DE CASTRO PINTO, 33B",2590,8500,tih2a1ct3ors,eliasaraujo,2023-02-23T17:17:52.000Z,,,,,"31,33",No boost,41340742478685,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,10,[],"RUA EDSON DE CASTRO PINTO, 47",2590,2590,ewngsyzb5vc2,desjaak,2023-02-23T17:07:01.000Z,,,,,"31,33",No boost,41340725701469,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,10,[],"RUA EDSON DE CASTRO PINTO, 51",2590,8500,keet34gdctm4,reno247,2023-02-23T17:18:32.000Z,UPX,3861,,,"31,33",No boost,41340692147038,100000,10000
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA DOUTORA MARIA AUGUSTA SARAIVA, 90",2590,7700,ylclo2g1b1xg,royal2076,2023-02-26T12:33:54.000Z,,,,,"31,33",No boost,41340524374874,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,10,[],"RUA SANTA JUSTINA, 65",2590,7400,hfszlaehro4h,nupe15,2023-03-14T16:09:54.000Z,,,,,"31,33",No boost,41339886840484,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA TENERIFE, 184",2590,8000,yjjzxdhqppva,manymore,2023-02-23T21:18:15.000Z,,,,,"31,33",No boost,41339215751530,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA CAVAZZOLA, 101",2590,6250,vhmldlspz5jo,ackiswack,2023-04-05T03:00:42.000Z,,,,,"31,33",No boost,41339131865871,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,"[{""name"":""Sao Paulo"",""yield_boost"":1.25}]","RUA CAVAZZOLA, 91",2590,2590,wto3mlzc1sqp,axhell,2023-04-05T17:03:34.500Z,,,,,"31,33","39,16",41339131865869,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,10,[],"AVENIDA NOVA INDEPENDENCIA, 1127",2590,8500,otejk4ma2inu,juniro,2023-02-23T19:18:54.000Z,,,,,"31,33",No boost,41338242673048,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"AVENIDA DOUTOR CARDOSO DE MELO, 1004",2590,2590,eapw2yuxe1cx,juoliveira,2023-02-24T00:15:06.500Z,,,,,"31,33",No boost,41338225895964,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"AVENIDA NOVA INDEPENDENCIA, 1119",2590,2590,ycyebm4fuist,jafarakb,2023-02-23T17:17:18.000Z,,,,,"31,33",No boost,41338192341399,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,10,[],"RUA PROFESSOR VAHIA DE ABREU, 706C",2590,6500,by3b2h34tiri,utah3002,2023-04-01T05:16:21.500Z,,,,,"31,33",No boost,41337085045359,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA PROFESSOR VAHIA DE ABREU, 441D",2590,6999,f4a42okkb5dw,deisevitori,2023-03-13T01:29:51.500Z,,,,,"31,33",No boost,41335893863078,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,10,[],"RUA GUARAIUVA, 1635A",2590,7500,zb4tyxcb1gva,fabricio20,2023-03-21T17:30:36.000Z,UPX,328,,,"31,33",No boost,41335692536408,8500,850
Sao Paulo,For sale,TRUE,ITAIM BIBI,10,[],"RUA MARQUES DE CASCAIS, 215B",2590,5990,rdbi1bqkzxxw,dgx1228,2023-04-10T21:32:45.000Z,UPX,386,,,"31,33",No boost,41335591873084,10000,1000
Sao Paulo,Owned,TRUE,ITAIM BIBI,10,[],"RUA KANSAS, 847",2590,6799,tjxqbj5g43i2,uumi,2023-03-06T00:11:26.000Z,,,,,"31,33",No boost,41334568462870,,
