City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,Owned,TRUE,LIBERDADE,7,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA TENENTE AZEVEDO, 136E",1260,10980,rzbzwxsznvjg,idekei,2023-03-09T01:39:28.500Z,,,,,"15,24","24,54",41358660546929,,
Sao Paulo,Owned,FALSE,LIBERDADE,8,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA JOSE FERREIRA ROCHA, 47A",1440,11000,sxpmycyjcggq,samsgamesnft,2023-03-08T01:37:57.500Z,,,,,"17,42","28,04",41362183762022,,
Sao Paulo,Owned,TRUE,LIBERDADE,8,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA DOS TAPES, 81E",1440,1440,m1fadif515ff,pt4402741,2023-02-23T19:19:42.000Z,,,,,"17,42","28,04",41361546227986,,
Sao Paulo,Owned,TRUE,LIBERDADE,8,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA DOUTOR DARIO DO AMARAL, 73",1440,7777,ey5a4g3m5moy,jjsparroww,2023-02-28T08:42:18.000Z,,,,,"17,42","28,04",41359918838256,,
Sao Paulo,Owned,TRUE,LIBERDADE,8,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA CONSELHEIRO FURTADO, 1437",1440,11999,tykeitngzck4,benji53,2023-04-03T14:48:30.000Z,,,,,"17,42","28,04",41358895427812,,
Sao Paulo,Owned,FALSE,LIBERDADE,8,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA SAFIRA, 71A",1440,9888,tyemy3wb5i3i,ruivrs,2023-02-23T17:45:25.000Z,,,,,"17,42","28,04",41354919227643,,
Sao Paulo,Owned,FALSE,LIBERDADE,8,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA ALABASTRO, 230A",1440,10888,tyemy3wb5i3i,ruivrs,2023-02-23T17:50:42.000Z,,,,,"17,42","28,04",41354852118775,,
Sao Paulo,Owned,TRUE,LIBERDADE,9,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA FAGUNDES, 110",1620,1620,vhmy4j5kpamt,kamiw,2023-03-28T18:29:51.000Z,,,,,"19,6","31,55",41362720636626,,
Sao Paulo,Owned,TRUE,LIBERDADE,9,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA TAGUA, 183",1620,1620,vai3lbj11edg,ivanal,2023-02-23T17:05:04.000Z,,,,,"19,6","31,55",41361781108822,,
Sao Paulo,Owned,TRUE,LIBERDADE,9,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA BUENO DE ANDRADE, 141B",1620,4980,mv3qialeycbk,jelavoura,2023-03-28T16:56:08.500Z,,,,,"19,6","31,55",41361630114056,,
Sao Paulo,Owned,TRUE,LIBERDADE,9,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA DOS PARECIS, 196",1620,1620,cnmuqjvcb1y3,milamika,2023-03-05T21:53:14.000Z,,,,,"19,6","31,55",41359633625500,,
Sao Paulo,Owned,TRUE,LIBERDADE,9,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA PAULO OROZIMBO, 137",1620,9450,h3bpaotrg21b,sfez,2023-04-02T14:30:24.000Z,,,,,"19,6","31,55",41357100265965,,
Sao Paulo,Owned,TRUE,LIBERDADE,9,"[{""name"":""Liberdade"",""yield_boost"":1.61}]","RUA MUNIZ DE SOUSA, 729",1620,1620,jpnuu5wbswch,biorevola,2023-02-23T23:22:54.000Z,,,,,"19,6","31,55",41356630503835,,
