City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,Owned,TRUE,SE,8,"[{""name"":""Se"",""yield_boost"":1.76}]","AVENIDA MERCURIO, 598",1232,1232,mq1yva1mibhd,blackcat007,2023-03-22T05:44:31.500Z,,,,,"14,9","26,23",41374749900744,,
Sao Paulo,Owned,TRUE,SE,9,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA PAULA SOUSA, 155J",1386,19890,quhcjtqjrf2e,marwhi,2023-02-24T07:43:29.500Z,,,,,"16,77","29,51",41376696057707,,
Sao Paulo,For sale,FALSE,SE,9,"[{""name"":""Se"",""yield_boost"":1.76}]","AVENIDA DO ESTADO, 2908B",1386,2500,and5mcjk4evq,fredbarros,2023-02-23T18:44:22.000Z,UPX,10823,,,"16,77","29,51",41374850564076,150000,"16666,66667"
Sao Paulo,Owned,TRUE,SE,9,"[{""name"":""Se"",""yield_boost"":1.76}]","PARQUE DOM PEDRO II, 36",1386,1386,idydqlvtqksb,roletarussa,2023-02-23T17:05:33.500Z,,,,,"16,77","29,51",41373072179136,,
Sao Paulo,Owned,TRUE,SE,9,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA SENADOR PAULO EGIDIO, 34A",1386,27900,x34ior4mplpj,saileeso,2023-04-07T15:04:18.000Z,,,,,"16,77","29,51",41369280528096,,
Sao Paulo,For sale,TRUE,SE,9,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA BARAO DE DUPRAT, 353A",1386,1386,yjbharzioxgz,kevlar420,2023-02-23T17:00:54.500Z,UPX,2128,,,"16,77","29,51",41374364024695,29500,"3277,777778"
Sao Paulo,Owned,TRUE,SE,9,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA VINTE E CINCO DE MARCO, 976C",1386,25000,g5exhxxvishr,enrrohden,2023-03-05T17:50:42.000Z,,,,,"16,77","29,51",41374229806961,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA PAULA SOUSA, 133F",1540,25000,cvsjdgkzrcnj,losmontana9,2023-02-23T18:52:16.000Z,,,,,"18,63","32,78",41376595394418,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA ILHA DAS FLORES, 70",1540,1540,p35ln1u1h2gr,a_polaris,2023-02-23T17:04:38.000Z,,,,,"18,63","32,78",41375571984256,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA ILHA DAS FLORES, 66A",1540,12000,foeblwlw13gd,diamondlove,2023-03-26T04:09:36.000Z,,,,,"18,63","32,78",41375555207043,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA ILHA DAS FLORES, 48",1540,12000,qdgnafvu3o3l,generalotis,2023-03-01T16:00:00.000Z,,,,,"18,63","32,78",41375538429830,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA CARLOS DE SOUSA NAZARE, 613B",1540,20900,udyf3qlfxi22,qingya05,2023-02-24T03:50:17.000Z,,,,,"18,63","32,78",41374884118506,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","AVENIDA MERCURIO, 518",1540,1540,cesyv2zta5y4,denise01,2023-02-23T17:05:54.000Z,,,,,"18,63","32,78",41374431133661,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA VINTE E CINCO DE MARCO, 353",1540,1540,avr2sp3phzag,davidfelix,2023-02-23T17:04:15.500Z,,,,,"18,63","32,78",41374380801917,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA BARAO DE DUPRAT, 353B",1540,5700,vu2kv1sangou,tatahbeto,2023-03-07T17:21:58.500Z,,,,,"18,63","32,78",41374364024698,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA DOUTOR ITAPURA DE MIRANDA, 66",1540,10000,yew22b3acad4,bleurain,2023-03-15T03:58:30.000Z,,,,,"18,63","32,78",41372669525932,,
Sao Paulo,For sale,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","PARQUE DOM PEDRO II, 866",1540,21000,imiqaiw1ixbp,intellibr,2023-02-27T15:02:08.500Z,UPX,3247,,,"18,63","32,78",41370018725792,49999,"4999,9"
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA RIACHUELO, 31B",1540,26500,lqerflood2dw,cyclonix123,2023-03-03T17:03:00.000Z,,,,,"18,63","32,78",41367955128043,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA JOAO DE CARVALHO, 87C",1540,20100,slrhulg1eioi,deadcoins,2023-02-28T12:52:52.000Z,,,,,"18,63","32,78",41366747168675,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","PRACA DOUTOR MARIO MARGARIDO, 28B",1540,1540,n5ojs21tg213,vablopegetti,2023-02-23T17:14:14.000Z,,,,,"18,63","32,78",41365857976253,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA DOS AFLITOS, 14",1540,1540,i5kcgitezwwc,grx567,2023-03-03T18:53:06.000Z,,,,,"18,63","32,78",41365186887435,,
Sao Paulo,For sale,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","VILLA DOS ESTUDANTES, 25",1540,1540,bxtkxikayvga,sgu008,2023-03-14T15:56:12.000Z,UPX,12987,,,"18,63","32,78",41365035892661,200000,20000
Sao Paulo,Owned,FALSE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA PAULA SOUSA, 87G",1540,19999,e4psracjmpwq,daddylc,2023-02-23T17:08:04.500Z,,,,,"18,63","32,78",41376645726055,,
Sao Paulo,Owned,FALSE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA CONDE DE SARZEDAS, 404",1540,24300,nxyecxr2okkh,kallil,2023-02-23T17:23:06.000Z,,,,,"18,63","32,78",41365908307908,,
Sao Paulo,Owned,TRUE,SE,10,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA ANTONIO PAIS, 65B",1540,22000,w352cnsbmjvz,jdax,2023-02-26T11:39:18.000Z,,,,,"18,63","32,78",41376360513426,,
Sao Paulo,Owned,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","BECO DA FABRICA, 51",1694,1694,zm2uiraucqex,adarshsharma,2023-02-23T17:02:24.500Z,,,,,"20,49","36,06",41376024969047,,
Sao Paulo,Owned,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA BARAO DE DUPRAT, 891",1694,25000,yl1p3boxgon2,brunol360,2023-03-05T03:38:27.500Z,,,,,"20,49","36,06",41375605538694,,
Sao Paulo,Owned,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA DOUTOR ITAPURA DE MIRANDA, 58",1694,16000,epim4trulgeq,xxmathieuxx,2023-04-09T03:44:42.000Z,,,,,"20,49","36,06",41372686303144,,
Sao Paulo,For sale,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA DOUTOR ITAPURA DE MIRANDA, 48",1694,25999,mzxvrjupr3vq,garot0,2023-04-11T02:43:51.500Z,UPX,1771,,,"20,49","36,06",41372669525925,30000,"2727,272727"
Sao Paulo,Owned,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA CAVALHEIRO BASILIO JAFET, 92",1694,1694,cz2bluoqlco1,lizlegge,2023-04-03T13:49:30.000Z,,,,,"20,49","36,06",41372233318257,,
Sao Paulo,Owned,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","PARQUE DOM PEDRO II, 862",1694,5000,go42qnca2t3w,thiaaaago,2023-03-01T08:23:42.000Z,,,,,"20,49","36,06",41370069057439,,
Sao Paulo,For sale,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","AVENIDA DA LIBERDADE, 43A",1694,22997,qgkfv1cwqsfj,patricklcf69,2023-03-08T19:25:00.000Z,USD,1768,completed,iwzpfunivool,"20,49","36,06",41366512287498,"29,95","2,722727273"
Sao Paulo,Owned,TRUE,SE,11,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA JOAO DE CARVALHO, 29",1694,24999,xftihe33qkzc,frkz,2023-03-16T12:01:24.000Z,,,,,"20,49","36,06",41366310961056,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA ILHA DAS FLORES, 155",1848,1848,ouihaavyaifa,player7260_,2023-02-23T17:04:48.000Z,,,,,"22,35","39,34",41375756533626,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA ILHA DAS FLORES, 178B",1848,49999,v2miudpgcgfy,nichiren,2023-03-07T04:42:07.000Z,,,,,"22,35","39,34",41375605538693,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA CARLOS DE SOUSA NAZARE, 613A",1848,2000,rky3r5eh3ruj,mohsenbd,2023-03-08T02:56:57.000Z,,,,,"22,35","39,34",41374850564072,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","AVENIDA PRESTES MAIA, 532",1848,1848,knitsgclv5ov,rolandgalaad,2023-02-23T17:03:14.000Z,,,,,"22,35","39,34",41374850563888,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA VINTE E CINCO DE MARCO, 976E",1848,1478,rup51liww1yk,victordumar,2023-02-26T04:02:47.000Z,,,,,"22,35","39,34",41374380801921,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA BARAO DE DUPRAT, 126",1848,1848,fq4jtfwsrfyp,marioiram,2023-04-12T17:36:32.000Z,,,,,"22,35","39,34",41373038624655,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","PARQUE DOM PEDRO II, 158",1848,5000,uzjr1l1e31iu,aicalica33,2023-03-13T22:39:55.500Z,,,processing,iwzpfunivool,"22,35","39,34",41372602417064,,
Sao Paulo,Owned,TRUE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA CAVALHEIRO BASILIO JAFET, 94",1848,26999,fcrtbrj4btgl,umiamiguy,2023-03-31T00:33:47.000Z,,,,,"22,35","39,34",41372233318260,,
Sao Paulo,Owned,FALSE,SE,12,"[{""name"":""Se"",""yield_boost"":1.76}]","RUA SENADOR FEIJO, 72",1848,17999,qgx4rw5szppn,destroyit,2023-02-23T17:31:48.000Z,,,,,"22,35","39,34",41368408112894,,
